Num_Acc,an,mois,jour,heure,dep,com,agg,int,lum,atm,catr,circ,plan,surf,situ,sexe,age,trajet,typevehicule1,typevehicule2,typevehicule3,equipement1,equipement2,equipement3,equipement_bool,grav_num
200500003053,2005,1,3,13,031,31555,2,1,1,1.0,4,2.0,1.0,1.0,4.0,1.0,21.0,2.0,4.0,,,0.0,,,False,2
200500003068,2005,1,1,13,031,31555,2,1,1,1.0,4,2.0,1.0,1.0,1.0,2.0,53.0,1.0,7.0,,,0.0,,,False,1
200500003069,2005,1,1,17,031,31555,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,12.0,1.0,7.0,,,9.0,,,True,2
200500003073,2005,1,2,18,031,31555,2,1,5,1.0,4,2.0,1.0,1.0,4.0,1.0,26.0,4.0,38.0,,,0.0,,,False,2
200500003092,2005,1,3,10,031,31555,2,1,1,8.0,4,2.0,1.0,1.0,1.0,2.0,51.0,4.0,7.0,,,2.0,,,True,2
200500003093,2005,1,3,16,031,31555,2,1,1,2.0,4,2.0,1.0,2.0,1.0,2.0,23.0,5.0,7.0,,,9.0,,,True,2
200500003110,2005,1,2,18,031,31555,2,1,2,1.0,4,2.0,1.0,1.0,1.0,1.0,75.0,5.0,7.0,,,2.0,,,True,2
200500003145,2005,1,2,15,033,33281,2,1,2,1.0,4,2.0,1.0,1.0,1.0,2.0,14.0,2.0,7.0,,,2.0,,,True,1
200500003153,2005,1,4,17,033,33063,2,3,1,1.0,4,1.0,1.0,1.0,1.0,1.0,13.0,2.0,7.0,,,2.0,,,True,2
200500003162,2005,1,2,14,033,33063,2,3,1,1.0,4,1.0,1.0,1.0,1.0,2.0,25.0,1.0,7.0,,,2.0,,,True,1
200500003163,2005,1,5,15,033,33522,2,2,1,5.0,4,3.0,1.0,1.0,1.0,2.0,75.0,5.0,19.0,,,2.0,,,True,2
200500003164,2005,1,5,17,033,33192,2,3,1,1.0,4,2.0,3.0,1.0,1.0,2.0,21.0,1.0,7.0,,,9.0,,,True,1
200500003179,2005,1,4,17,033,33063,2,1,1,1.0,4,2.0,2.0,1.0,1.0,1.0,13.0,2.0,7.0,,,2.0,,,True,1
200500003185,2005,1,6,22,033,33063,2,1,5,1.0,4,2.0,1.0,1.0,1.0,2.0,24.0,5.0,7.0,,,2.0,,,True,1
200500003188,2005,1,1,14,033,33069,2,2,1,1.0,4,3.0,1.0,1.0,1.0,1.0,71.0,5.0,7.0,,,2.0,,,True,1
200500003189,2005,1,5,12,033,33249,2,4,1,1.0,4,3.0,1.0,1.0,1.0,1.0,18.0,1.0,19.0,,,2.0,,,True,2
200500003200,2005,1,2,15,033,33063,2,3,1,1.0,4,2.0,1.0,1.0,1.0,2.0,21.0,1.0,7.0,,,9.0,,,True,1
200500003220,2005,1,3,16,033,33522,2,6,1,2.0,4,3.0,1.0,2.0,1.0,2.0,25.0,1.0,7.0,,,2.0,,,True,1
200500003243,2005,1,1,15,033,33063,2,2,1,1.0,4,1.0,1.0,1.0,1.0,2.0,19.0,1.0,7.0,18.0,,2.0,,,True,1
200500003244,2005,1,1,17,033,33063,2,3,1,1.0,4,1.0,1.0,1.0,1.0,1.0,24.0,1.0,7.0,,,2.0,,,True,1
200500003245,2005,1,1,19,033,33063,2,2,5,1.0,4,1.0,1.0,1.0,1.0,1.0,39.0,4.0,7.0,,,2.0,,,True,1
200500003254,2005,1,4,18,034,34003,2,1,5,1.0,3,3.0,1.0,1.0,1.0,1.0,34.0,5.0,7.0,,,4.0,,,True,2
200500003311,2005,1,5,18,035,35238,2,1,5,2.0,4,2.0,1.0,2.0,1.0,1.0,37.0,1.0,7.0,,,9.0,,,True,1
200500003312,2005,1,5,10,035,35238,2,5,1,8.0,4,2.0,1.0,2.0,1.0,1.0,82.0,5.0,17.0,,,9.0,,,True,3
200500003320,2005,1,3,14,035,35238,2,6,2,8.0,4,2.0,1.0,2.0,5.0,2.0,30.0,1.0,7.0,,,9.0,,,True,1
200500003326,2005,1,4,17,035,35238,2,1,1,1.0,4,2.0,1.0,2.0,1.0,2.0,63.0,9.0,60.0,,,9.0,,,True,2
200500003359,2005,1,6,10,035,35288,2,6,1,1.0,4,1.0,1.0,1.0,1.0,1.0,17.0,2.0,7.0,,,9.0,,,True,2
200500003378,2005,1,6,18,037,37261,2,1,2,1.0,4,3.0,1.0,1.0,1.0,2.0,12.0,5.0,7.0,,,9.0,,,True,2
200500003385,2005,1,4,18,037,37261,2,2,5,1.0,4,3.0,1.0,1.0,1.0,1.0,16.0,2.0,18.0,,,4.0,,,True,2
200500003395,2005,1,6,15,038,38421,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,43.0,9.0,38.0,,,9.0,,,True,0
200500003396,2005,1,3,14,038,38421,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,16.0,9.0,7.0,,,9.0,,,True,2
200500003397,2005,1,4,18,038,38185,2,1,5,1.0,4,2.0,1.0,2.0,1.0,1.0,32.0,9.0,7.0,,,9.0,,,True,2
200500003400,2005,1,5,17,038,38185,2,1,5,1.0,4,2.0,1.0,1.0,1.0,2.0,23.0,9.0,7.0,,,2.0,,,True,1
200500003402,2005,1,6,12,038,38151,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,65.0,5.0,5.0,,,9.0,,,True,1
200500003405,2005,1,2,12,038,38516,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,26.0,5.0,7.0,,,2.0,,,True,2
200500003413,2005,1,1,13,038,38151,2,1,1,4.0,2,3.0,3.0,2.0,1.0,2.0,55.0,4.0,7.0,,,9.0,,,True,3
200500003415,2005,1,2,15,038,38185,2,3,1,1.0,4,1.0,1.0,2.0,5.0,2.0,23.0,1.0,7.0,,,9.0,,,True,1
200500003432,2005,1,7,14,040,40192,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,27.0,5.0,33.0,,,2.0,,,True,2
200500003433,2005,1,1,13,041,41018,2,1,1,1.0,4,2.0,1.0,1.0,1.0,2.0,63.0,5.0,7.0,,,4.0,,,True,1
200500003440,2005,1,6,16,041,41018,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,51.0,5.0,7.0,,,9.0,,,True,2
200500003440,2005,1,6,16,041,41018,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,52.0,5.0,7.0,,,9.0,,,True,1
200500003449,2005,1,2,17,041,41269,2,1,1,8.0,4,2.0,1.0,2.0,1.0,1.0,45.0,1.0,10.0,,,9.0,,,True,0
200500003464,2005,1,6,17,042,42071,2,3,2,1.0,3,2.0,1.0,1.0,1.0,1.0,16.0,5.0,7.0,,,2.0,,,True,1
200500003466,2005,1,1,16,042,42127,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,62.0,5.0,1.0,,,2.0,,,True,2
200500003466,2005,1,1,16,042,42127,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,55.0,5.0,1.0,,,2.0,,,True,2
200500003487,2005,1,6,10,042,42330,2,6,1,1.0,4,1.0,1.0,1.0,1.0,1.0,48.0,5.0,7.0,,,2.0,,,True,1
200500003529,2005,1,3,11,044,44135,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,51.0,3.0,7.0,,,9.0,,,True,0
200500003572,2005,1,2,13,044,44109,2,1,2,3.0,4,2.0,1.0,2.0,1.0,1.0,28.0,2.0,7.0,,,9.0,,,True,1
200500003575,2005,1,2,16,044,44109,2,6,1,2.0,4,1.0,3.0,2.0,1.0,2.0,42.0,1.0,7.0,,,9.0,,,True,1
200500003592,2005,1,5,15,044,44109,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,15.0,2.0,7.0,,,9.0,,,True,2
200500003616,2005,1,2,10,045,45234,2,3,1,1.0,4,2.0,1.0,1.0,1.0,1.0,61.0,9.0,7.0,,,9.0,,,True,1
200500003619,2005,1,4,17,045,45234,2,1,5,1.0,2,1.0,1.0,1.0,1.0,1.0,35.0,9.0,7.0,,,9.0,,,True,1
200500003624,2005,1,1,13,045,45232,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,69.0,9.0,7.0,,,9.0,,,True,1
200500003633,2005,1,2,13,045,45147,2,6,2,1.0,4,2.0,1.0,1.0,1.0,1.0,48.0,5.0,7.0,,,9.0,,,True,1
200500003653,2005,1,2,12,047,47323,2,1,1,1.0,4,1.0,1.0,1.0,1.0,2.0,48.0,1.0,7.0,,,4.0,,,True,2
200500003655,2005,1,5,15,047,47323,2,6,2,2.0,3,1.0,2.0,2.0,1.0,1.0,62.0,1.0,7.0,,,4.0,,,True,2
200500003670,2005,1,5,16,049,49007,2,1,1,1.0,4,1.0,1.0,2.0,1.0,2.0,51.0,5.0,38.0,,,9.0,,,True,1
200500003674,2005,1,2,13,049,49007,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,44.0,4.0,7.0,,,9.0,,,True,1
200500003682,2005,1,5,17,049,49007,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,45.0,5.0,7.0,,,9.0,,,True,1
200500003698,2005,1,1,16,049,49007,2,1,2,1.0,4,2.0,1.0,1.0,1.0,2.0,18.0,1.0,7.0,,,9.0,,,True,1
200500003700,2005,1,3,14,049,49007,2,2,1,1.0,4,2.0,1.0,1.0,1.0,1.0,51.0,1.0,7.0,,,9.0,,,True,1
200500003705,2005,1,5,12,049,49007,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,20.0,2.0,7.0,,,0.0,,,False,1
200500003707,2005,1,5,16,049,49007,2,1,1,1.0,4,1.0,1.0,1.0,1.0,2.0,15.0,5.0,7.0,,,9.0,,,True,1
200500003709,2005,1,4,16,049,49007,2,1,1,1.0,4,2.0,1.0,2.0,1.0,1.0,29.0,1.0,7.0,,,9.0,,,True,1
200500003712,2005,1,4,16,049,49267,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,28.0,9.0,7.0,,,9.0,,,True,1
200500003727,2005,1,5,17,050,50129,2,2,5,2.0,4,1.0,1.0,2.0,1.0,1.0,14.0,2.0,7.0,,,2.0,,,True,2
200500003731,2005,1,2,15,050,50129,2,3,1,1.0,4,2.0,1.0,2.0,1.0,1.0,24.0,1.0,10.0,,,2.0,,,True,2
200500003763,2005,1,5,13,051,51454,2,1,1,1.0,9,2.0,1.0,1.0,1.0,1.0,20.0,5.0,7.0,,,2.0,,,True,1
200500003774,2005,1,3,12,052,52534,2,3,1,1.0,4,2.0,1.0,1.0,1.0,1.0,32.0,5.0,7.0,,,4.0,,,True,1
200500003801,2005,1,6,11,054,54395,2,1,1,1.0,4,1.0,1.0,1.0,1.0,1.0,21.0,5.0,7.0,,,2.0,,,True,1
200500003816,2005,1,3,23,054,54395,2,2,5,2.0,4,1.0,1.0,2.0,1.0,1.0,21.0,5.0,7.0,,,9.0,,,True,1
200500003818,2005,1,4,17,054,54547,2,3,2,1.0,4,2.0,1.0,1.0,5.0,1.0,35.0,1.0,10.0,,,9.0,,,True,1
200500003852,2005,1,2,17,055,55186,2,1,2,1.0,3,2.0,3.0,1.0,1.0,2.0,64.0,5.0,5.0,,,9.0,,,True,2
200500003866,2005,1,7,18,056,56121,2,1,1,1.0,4,2.0,1.0,1.0,1.0,1.0,15.0,5.0,39.0,,,9.0,,,True,0
